"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\HLPlayer.java", "Java", 0, 0, 0, 0, 0, 0, 0, -80, 0, 0, -36, -116
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\HLRole.java", "Java", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -4, -21
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\HLUser.java", "Java", 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, -21, -68
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\HLUserResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, -34, 0, -2, -13, -49
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -3, -11
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\Message.java", "Java", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -11, -37
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\MessageType.java", "Java", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -1, -7
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\PlayerBehavior.java", "Java", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -3, -11
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\Post.java", "Java", 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -9, -41
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\Product.java", "Java", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -11, -40
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\RegisterRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -12
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model\Thread.java", "Java", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -11, -40
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\service\ArtService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -5, -12
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\service\DatabaseService.java", "Java", 0, 0, 0, 0, 0, 0, 0, -66, 0, -9, -51, -126
