"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.html", "HTML", 0, 0, 70, 0, 4, 74
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.ts", "TypeScript", 221, 0, 0, 0, 14, 235
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app-routing.module.ts", "TypeScript", 36, 0, 0, 0, 4, 40
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.css", "CSS", 0, 3, 0, 1, 0, 4
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.html", "HTML", 0, 0, 6, 0, 0, 6
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.spec.ts", "TypeScript", 25, 0, 0, 0, 5, 30
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.module.ts", "TypeScript", 91, 0, 0, 0, 4, 95
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.css", "CSS", 0, 39, 0, 0, 7, 46
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.html", "HTML", 0, 0, 21, 0, 2, 23
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.ts", "TypeScript", 121, 0, 0, 0, 5, 126
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.spec.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\auth.service.ts", "TypeScript", 21, 0, 0, 0, 3, 24
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\forum.service.ts", "TypeScript", 42, 0, 0, 0, 4, 46
